,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
12265,6399108,Private room,14587920,2014-04-22,,0.05,10.0,10.0,9.0,10.0,10.0,100.0,35.0,,75020,2
12271,6401625,Private room,11035969,2014-01-05,,0.05,8.0,10.0,9.0,8.0,2.0,80.0,60.0,,75019,2
12276,6406706,Private room,22980352,2014-10-26,81%,9.99,10.0,9.0,10.0,10.0,10.0,95.0,80.0,$0.00,75017,423
12288,6409076,Private room,33427057,2015-05-15,,0.02,,,,,,,35.0,,75015,1
12292,6411852,Private room,33440836,2015-05-15,,0.02,10.0,10.0,10.0,10.0,10.0,100.0,59.0,$40.00,75011,1
12299,6417558,Private room,17934136,2014-07-10,100%,0.69,10.0,10.0,10.0,10.0,10.0,98.0,60.0,,75017,29
12300,6418304,Private room,33482834,2015-05-16,90%,1.86,9.0,9.0,10.0,10.0,9.0,95.0,39.0,$25.00,75019,17
12317,6427185,Private room,21846256,2014-09-27,93%,1.56,10.0,10.0,10.0,10.0,10.0,97.0,60.0,$15.00,75011,66
12319,6428393,Private room,29358141,2015-03-15,,0.07,5.0,4.0,6.0,6.0,4.0,40.0,43.0,$5.00,75010,3
12341,6432133,Private room,16233883,2014-06-01,,2.59,10.0,9.0,10.0,10.0,10.0,99.0,40.0,,75019,56
12345,6434326,Private room,32960142,2015-05-09,,0.28,10.0,10.0,10.0,10.0,10.0,98.0,73.0,,75009,12
12351,6436238,Private room,33598573,2015-05-17,,0.14,8.0,9.0,10.0,9.0,7.0,90.0,85.0,,75006,4
12367,6443479,Private room,30149869,2015-03-28,100%,0.58,10.0,10.0,10.0,10.0,10.0,95.0,55.0,$10.00,75010,25
12374,6444115,Private room,11755000,2014-01-29,,0.02,8.0,10.0,10.0,10.0,8.0,100.0,42.0,,75011,1
12379,6445363,Private room,30141026,2015-03-28,100%,0.47,9.0,10.0,10.0,10.0,9.0,92.0,50.0,$0.00,75009,20
12382,6446516,Private room,4403649,2012-12-14,,0.08,9.0,10.0,10.0,10.0,10.0,100.0,73.0,$5.00,75018,3
12420,6460325,Private room,33738281,2015-05-19,100%,0.16,10.0,10.0,10.0,10.0,10.0,100.0,60.0,$20.00,75019,6
12449,6473734,Private room,33818773,2015-05-20,100%,2.07,10.0,10.0,10.0,10.0,10.0,97.0,95.0,$30.00,75003,89
12451,6473906,Private room,29373966,2015-03-15,100%,0.62,10.0,10.0,10.0,10.0,10.0,100.0,40.0,$0.00,75008,11
12456,6474884,Private room,33826079,2015-05-20,100%,1.08,9.0,10.0,10.0,10.0,10.0,94.0,70.0,,75005,46
12457,6475473,Private room,32602562,2015-05-04,,0.1,10.0,9.0,10.0,10.0,10.0,100.0,50.0,$5.00,75015,3
12509,6503225,Private room,33763738,2015-05-19,100%,3.36,9.0,9.0,10.0,10.0,9.0,92.0,39.0,,75015,143
12510,6503635,Private room,33995080,2015-05-22,50%,1.62,10.0,10.0,10.0,10.0,9.0,93.0,36.0,,75014,53
12523,6510651,Private room,33174983,2015-05-12,,0.02,,,,,,,40.0,,75019,1
12534,6515226,Private room,31774356,2015-04-23,,0.03,,,,,,,42.0,,75015,1
12548,6519803,Private room,5869840,2013-04-10,100%,2.72,10.0,10.0,10.0,10.0,9.0,96.0,42.0,$0.00,75015,116
12556,6521400,Private room,34108738,2015-05-24,100%,2.51,9.0,9.0,9.0,9.0,8.0,82.0,45.0,$30.00,75002,101
12571,6526717,Private room,20869685,2014-09-02,60%,1.3,9.0,9.0,10.0,10.0,9.0,91.0,26.0,$15.00,94410,55
