,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
20408,27226133,Private room,192439967,2018-05-30,100%,0.41,10.0,10.0,10.0,8.0,8.0,100.0,15.0,$0.00,10243,1
20571,27454430,Private room,80898392,2016-06-30,,2.69,9.0,10.0,10.0,10.0,10.0,100.0,15.0,$30.00,10969,6
20566,27449527,Private room,17394372,2014-06-29,,1.76,10.0,10.0,10.0,10.0,10.0,100.0,15.0,,10245,5
21135,28142307,Private room,211356294,2018-08-23,100%,1.13,9.0,10.0,10.0,10.0,7.0,80.0,15.0,,12043,2
1278,1540436,Private room,3944944,2012-10-22,,0.27,9.0,10.0,10.0,9.0,9.0,94.0,15.0,,10437,16
4909,7409992,Private room,16395669,2014-06-04,,0.03,10.0,10.0,10.0,10.0,8.0,100.0,15.0,,10961,1
7247,10485991,Private room,54053245,2016-01-10,100%,0.7,10.0,10.0,10.0,9.0,9.0,96.0,15.0,$10.00,14059,21
18007,23729444,Private room,2509903,2012-05-31,,3.38,10.0,8.0,10.0,10.0,9.0,96.0,15.0,$5.00,13359,25
12868,18883832,Private room,75762814,2016-06-04,,0.17,7.0,7.0,10.0,9.0,7.0,93.0,15.0,,12043,3
16395,22122660,Private room,13089199,2014-03-13,,0.19,10.0,10.0,10.0,10.0,10.0,100.0,15.0,$10.00,12055,2
6717,9746139,Private room,50260808,2015-12-01,,0.09,10.0,10.0,8.0,10.0,8.0,100.0,15.0,$0.00,13353,1
3855,5945255,Private room,30864303,2015-04-08,,0.03,10.0,8.0,8.0,10.0,8.0,80.0,15.0,,12055,1
14058,20080653,Private room,142755415,2017-07-27,,0.19,9.0,8.0,9.0,9.0,8.0,90.0,15.0,,13359,3
21811,29006479,Private room,135196610,2017-06-15,,1.0,10.0,10.0,10.0,10.0,10.0,100.0,15.0,,14057,1
17704,23411937,Shared room,24089562,2014-11-23,100%,3.97,10.0,10.0,10.0,10.0,10.0,98.0,15.0,$10.00,10245,34
17355,23089086,Private room,5272092,2013-02-28,,0.11,,,,,,,15.0,$0.00,13349,1
5841,8301757,Private room,43771477,2015-09-09,,0.04,,,,,,,15.0,,12049,1
19872,26547235,Private room,122851515,2017-03-27,100%,0.51,,,,,,,15.0,$9.00,10585,2
18575,24502179,Private room,7845577,2013-07-31,60%,1.03,10.0,10.0,9.0,10.0,10.0,96.0,15.0,$15.00,14197,6
18573,24498176,Private room,70917393,2016-05-08,,0.59,10.0,10.0,10.0,10.0,10.0,100.0,15.0,,10559,4
5737,8186629,Private room,43185034,2015-09-02,,0.03,10.0,10.0,10.0,10.0,6.0,100.0,15.0,,12161,1
8277,12165273,Private room,25746966,2015-01-07,,0.04,,,,,,,15.0,$10.00,12045,1
18562,24473769,Private room,147762706,2017-08-26,,0.78,10.0,9.0,10.0,9.0,9.0,95.0,15.0,$30.00,13347,4
21029,28003789,Private room,211356294,2018-08-23,100%,0.92,9.0,10.0,10.0,10.0,9.0,90.0,15.0,,12043,2
11129,16639428,Shared room,109945345,2017-01-05,,0.46,8.0,9.0,8.0,8.0,6.0,78.0,15.0,,10319,10
8271,12159543,Private room,38895068,2015-07-19,100%,0.58,9.0,8.0,9.0,10.0,9.0,90.0,15.0,$20.00,12679,18
20179,26905005,Shared room,202418545,2018-07-15,100%,2.35,10.0,10.0,10.0,10.0,10.0,100.0,15.0,$4.00,13581,8
9423,14089871,Private room,84750891,2016-07-19,,0.11,10.0,9.0,10.0,9.0,9.0,100.0,15.0,,13353,3
13474,19569519,Private room,137512454,2017-06-28,,0.25,10.0,9.0,9.0,9.0,9.0,93.0,15.0,,13351,4
17016,22697789,Private room,146446470,2017-08-17,,1.37,9.0,8.0,10.0,10.0,9.0,98.0,15.0,,12687,13
8209,12047275,Private room,64084146,2016-03-22,,0.03,6.0,8.0,10.0,10.0,8.0,80.0,15.0,,13349,1
22058,29308089,Private room,5677022,2013-03-29,100%,3.0,10.0,10.0,10.0,10.0,10.0,100.0,15.0,,10439,3
15167,21017716,Private room,148064208,2017-08-28,50%,0.73,10.0,10.0,9.0,9.0,10.0,92.0,15.0,$10.00,10709,6
8893,13402870,Private room,16163899,2014-05-30,,0.14,10.0,9.0,10.0,10.0,10.0,95.0,15.0,,13359,4
9186,13796638,Private room,51352517,2015-12-14,,0.56,10.0,10.0,10.0,10.0,10.0,99.0,15.0,,13355,16
16032,21821616,Private room,159071325,2017-11-17,,0.17,,,,,,,15.0,,10551,2
4447,6848062,Private room,35883868,2015-06-15,,0.05,10.0,10.0,10.0,10.0,10.0,90.0,15.0,,12157,2
535,577552,Private room,2840324,2012-07-05,,0.06,10.0,10.0,10.0,10.0,6.0,90.0,15.0,,10999,2
4811,7311455,Private room,21148429,2014-09-09,,0.2,10.0,10.0,10.0,9.0,10.0,98.0,15.0,,12055,8
15070,20929477,Private room,59612353,2016-02-20,100%,4.9,10.0,9.0,10.0,10.0,9.0,98.0,15.0,$8.00,12437,68
17427,23142725,Private room,84981057,2016-07-20,,0.36,10.0,9.0,10.0,10.0,9.0,93.0,15.0,,12105,3
11256,16835205,Private room,55959193,2016-01-24,,0.1,10.0,10.0,10.0,10.0,9.0,100.0,15.0,,10559,2
21471,28572460,Private room,169111035,2018-01-21,100%,0.83,10.0,10.0,10.0,10.0,10.0,100.0,15.0,$30.00,10319,1
14336,20303019,Private room,18109264,2014-07-14,,0.07,10.0,10.0,10.0,10.0,10.0,100.0,15.0,$0.00,14050,1
17448,23164038,Shared room,5683838,2013-03-29,,0.11,,,,,,,15.0,$5.00,13359,1
17455,23173891,Private room,167238549,2018-01-11,,8.75,10.0,9.0,10.0,10.0,10.0,97.0,15.0,,12557,77
2487,3796880,Private room,19498962,2014-08-05,,0.06,10.0,9.0,10.0,10.0,9.0,100.0,15.0,$8.00,10829,2
5680,8115197,Entire home/apt,42851391,2015-08-29,,0.08,10.0,10.0,10.0,9.0,9.0,93.0,15.0,,10999,3
11194,16721054,Private room,59073111,2016-02-16,100%,1.76,9.0,9.0,10.0,9.0,9.0,92.0,15.0,$10.00,13405,30
8602,12943742,Private room,35194247,2015-06-07,,0.1,9.0,9.0,9.0,8.0,9.0,87.0,15.0,,12051,3
5909,8405757,Private room,952386,2011-08-10,,0.03,10.0,10.0,10.0,10.0,10.0,80.0,15.0,,10409,1
2651,4005077,Entire home/apt,20766230,2014-08-31,,0.03,,,,,,,15.0,$20.00,10245,1
